De / Het,Dutch,English,,Source,Level
het,hockey,the,hockey,,
de,wedstrijd,the,match,,
de,sportschool,the,gym,,
het,kampioenschap,the,championship,,
de,atleet,the,athlete,,
de,doelman,the,goalie,,
de,scheidsrechter,the,referee,,
de,middenvelder,the,midfielder,,
de,verdediger,the,defender,,
het,cricket,the,cricket,,
het,fierljeppen,the,fierljeppen,,
***,Science,Science!,(/course/356041/dutch-duolingo-de-or-het-vocabulary/60/),,
de,wetenschap,the,science,,
het,onderzoek,the,research,,
het,laboratorium,the,laboratory,,
het,experiment,the,experiment,,
de,chemicaliën,the,chemicals,,
het,gewicht,the,weight,,
de,eenheid,the,unit,,
de,snelheid,the,speed,,
het,volume,the,volume,,
de,liter,the,liter,,
het,kilogram,the,kilogram,,
het,monster,the,sample,,
de,afstand,the,distance,,
de,diepte,the,depth,,
de,weegschaal,the,scale,,
***,Science,Science!,II,(/course/356041/dutch-duolingo-de-or-het-vocabulary/61/),
de,materie,the,matter,,
de,massa,the,mass,,
de,theorie,the,theory,,
de,methode,the,method,,
de,techniek,the,technique,,
de,hoogte,the,height,,
de,ontdekking,the,discovery,,
het,concept,the,concept,,
de,formule,the,formula,,
de,wetenschapper,the,scientist,,
de,elektriciteit,the,electricity,,
de,cyclus,the,cycle,,
de,conclusie,the,conclusion,,
de,oppervlakte,the,surface,,
de,magneet,the,magnet,,
***,Science,Science!,III,(/course/356041/dutch-duolingo-de-or-het-vocabulary/62/),
de,microscoop,the,microscope,,
de,petrischaal,the,petri,dish,
de,telescoop,the,telescope,,
***,Business,Business,(/course/356041/dutch-duolingo-de-or-het-vocabulary/63/),,
de,euro,the,euro,,
de,cent,the,cent,,
de,dollar,the,dollar,,
de,kassa,the,checkout,,
het,geld,the,money,,
de,prijs,the,price,,
de,valuta,the,currency,,
de,verkoop,the,sale,(act,of
de,uitverkoop,the,sale,(discount),
het,goud,the,gold,,
de,vraag,the,demand,,
de,verzekering,the,insurance,,
het,aanbod,the,supply,,
de,economie,the,economy,,
de,waarde,the,value,,
***,Business,Business,II,(/course/356041/dutch-duolingo-de-or-het-vocabulary/64/),
de,handel,the,trade,,
de,schuld,the,debt,,
de,creditcard,the,credit,card,
de,beurs,the,stock,exchange,
de,consument,the,consumer,,
de,reclame,the,advertisement,,
de,zaken,the,business,,
het,hoofdkantoor,the,headquarters,,
het,filiaal,the,branch,,
de,marketingafdeling,the,marketing,department,
de,boekhouding,the,accounting,,
het,contract,the,contract,,
het,bedrijf,the,company,,
het,salaris,the,salary,,
de,promotie,the,promotion,,
***,Business,Business,III,(/course/356041/dutch-duolingo-de-or-het-vocabulary/65/),
de,klantenservice,the,customer,service,
de,klant,the,customer,,
de,zakenreis,the,business,trip,
de,zakenman,the,businessman,,
de,zakenvrouw,the,businesswoman,,
de,deal,the,deal,,
het,product,the,product,,
de,vergadering,the,meeting,,
de,onderneming,the,enterprise,,
de,ondernemer,the,entrepreneur,,
het,budget,the,budget,,
de,bestelling,the,order,,
de,financiering,the,financing,,
de,industrie,the,industry,,
het,risico,the,risk,,
***,Business,Business,IV,(/course/356041/dutch-duolingo-de-or-het-vocabulary/66/),
het,merk,the,brand,,
de,vooruitgang,the,progress,,
de,investering,the,investment,,
de,firma,the,firm,,
de,winst,the,profit,,
de,concurrentie,the,competition,,
de,laptop,the,laptop,,
de,loonlijst,the,payroll,,
de,agenda,the,agenda,,
de,winkel,the,store,,
***,Government,Government,(/course/356041/dutch-duolingo-de-or-het-vocabulary/67/),,
de,veiligheid,the,security,,
de,wet,the,law,,
de,regering,the,government,,
de,president,the,president,,
de,premier,the,prime,minister,
het,kabinet,the,cabinet,,
de,minister,the,minister,,
de,samenleving,the,society,,
de,belasting,the,tax,,
de,oorlog,the,war,,
de,strategie,the,strategy,,
het,advies,the,advice,,
het,leger,the,army,,
de,schuld,the,blame,,
de,verkiezing,the,election,,
